clipID,studentID,helpRequestCount,attemptCount,rightStepCount,notRightStepCount,wrongStepCount,bugStepCount,DidNotThinkBeforeHelpRequest,ThoughtBeforeHelpRequest,ReadingHelpMessage,ScanningHelpMessage,SearchingForBottomOutHint,ThoughtBeforeStepAttempt,GuessingStep,ThoughtAboutDuringLastStep,ThoughtAboutStepButFlawInProcedure,GuessingStepWithValuesFromProblem,DidNotReadErrorMessage,ReadErrorMessage,ThoughtAboutError,SwitchedContextBeforeRight,RepeatedStep,SameAnswerDifferentContext,SameAnswerSameContextDifferentAction,SimilarAnswerInputs,NotRepeatedStep,DidNotSwitchContext,sameWrongAnswerDifferentContext,repeatedSimilarAnswers,notRightSimilarNotRightSameAnswerDiffContext,repeatedWrongGuessesPattern,notRightSimilarNotRightGuess,bottomOutNotRightSimilarNotRight,notRightSameDiffNotRightContextSwitch,bugSameDiffRightBug,isNotRightSimilarNotRightContextSwitchNotRight,isNotRightContextSwitchNotRightSimilarNotRight,notRightSimilarNotRightQuickHelpNotRight,helpRepeatedNotRightOneSimilar,repeatedNotRightOneSimilarQuickHelp
326405,N7RB2G4NbCn,0,5,4,1,0,1,0,0,0,0,0,3,0,1,1,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
308636,N589M2uPIY4,0,5,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217383,tB4vqSxzqo,1,4,3,1,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
270260,mNzo8mGzu9,1,4,4,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
347879,Fx8d98DRud,0,5,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233890,N3hSu07XfGd,0,5,4,1,0,1,0,0,0,0,0,2,2,0,1,0,0,1,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
362543,LM96hW22T2,1,4,3,1,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242943,N6bJ4auIa8L,1,4,2,2,2,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140237,N668lBbaKFE,0,5,2,3,3,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
242860,N6bJ4auIa8L,1,4,0,4,4,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
